     #Energy           s           p           d       tot  
   -15.78018     0.01037     0.01682    31.96907    31.99626
   -15.74218     0.01037     0.01682    31.96907    31.99626
   -15.70318     0.01037     0.01682    31.96907    31.99626
   -15.66418     0.01037     0.01682    31.96907    31.99626
   -15.62618     0.01037     0.01682    31.96907    31.99626
   -15.58718     0.01037     0.01682    31.96907    31.99626
   -15.54818     0.01037     0.01682    31.96907    31.99626
   -15.51018     0.01037     0.01682    31.96907    31.99626
   -15.47118     0.01037     0.01682    31.96907    31.99626
   -15.43218     0.01037     0.01682    31.96907    31.99626
   -15.39418     0.01037     0.01682    31.96907    31.99626
   -15.35518     0.01037     0.01682    31.96907    31.99626
   -15.31618     0.01037     0.01682    31.96907    31.99626
   -15.27818     0.01037     0.01682    31.96907    31.99626
   -15.23918     0.01037     0.01682    31.96907    31.99626
   -15.20018     0.01037     0.01682    31.96907    31.99626
   -15.16218     0.01037     0.01682    31.96907    31.99626
   -15.12318     0.01037     0.01682    31.96907    31.99626
   -15.08418     0.01037     0.01682    31.96907    31.99626
   -15.04618     0.01037     0.01682    31.96907    31.99626
   -15.00718     0.01037     0.01682    31.96907    31.99626
   -14.96818     0.01037     0.01682    31.96907    31.99626
   -14.93018     0.01037     0.01682    31.96907    31.99626
   -14.89118     0.01037     0.01682    31.96907    31.99626
   -14.85218     0.01037     0.01682    31.96907    31.99626
   -14.81418     0.01037     0.01682    31.96907    31.99626
   -14.77518     0.01037     0.01682    31.96907    31.99626
   -14.73618     0.01037     0.01682    31.96907    31.99626
   -14.69818     0.01037     0.01682    31.96907    31.99626
   -14.65918     0.01037     0.01682    31.96907    31.99626
   -14.62018     0.01037     0.01682    31.96907    31.99626
   -14.58218     0.01037     0.01682    31.96907    31.99626
   -14.54318     0.01037     0.01682    31.96907    31.99626
   -14.50418     0.01037     0.01682    31.96907    31.99626
   -14.46518     0.01037     0.01682    31.96907    31.99626
   -14.42718     0.01037     0.01682    31.96907    31.99626
   -14.38818     0.01037     0.01682    31.96907    31.99626
   -14.34918     0.01037     0.01682    31.96907    31.99626
   -14.31118     0.01037     0.01682    31.96907    31.99626
   -14.27218     0.01037     0.01682    31.96907    31.99626
   -14.23318     0.01037     0.01682    31.96907    31.99626
   -14.19518     0.01037     0.01682    31.96907    31.99626
   -14.15618     0.01037     0.01682    31.96907    31.99626
   -14.11718     0.01037     0.01682    31.96907    31.99626
   -14.07918     0.01037     0.01682    31.96907    31.99626
   -14.04018     0.01038     0.01682    31.96907    31.99627
   -14.00118     0.01068     0.01682    31.96907    31.99657
   -13.96318     0.01188     0.01683    31.96907    31.99778
   -13.92418     0.01414     0.01684    31.96907    32.00005
   -13.88518     0.01687     0.01686    31.96908    32.00281
   -13.84718     0.01986     0.01690    31.96908    32.00583
   -13.80818     0.02327     0.01694    31.96908    32.00930
   -13.76918     0.02715     0.01699    31.96909    32.01323
   -13.73118     0.03149     0.01706    31.96910    32.01764
   -13.69218     0.03620     0.01714    31.96910    32.02244
   -13.65318     0.04113     0.01724    31.96911    32.02748
   -13.61518     0.04618     0.01735    31.96913    32.03265
   -13.57618     0.05142     0.01748    31.96914    32.03804
   -13.53718     0.05693     0.01762    31.96915    32.04371
   -13.49918     0.06271     0.01779    31.96917    32.04967
   -13.46018     0.06876     0.01796    31.96919    32.05592
   -13.42118     0.07510     0.01816    31.96921    32.06247
   -13.38318     0.08172     0.01837    31.96923    32.06932
   -13.34418     0.08859     0.01860    31.96926    32.07645
   -13.30518     0.09563     0.01885    31.96929    32.08377
   -13.26718     0.10283     0.01913    31.96932    32.09128
   -13.22818     0.11021     0.01943    31.96935    32.09899
   -13.18918     0.11776     0.01975    31.96939    32.10690
   -13.15118     0.12548     0.02009    31.96943    32.11500
