     #Energy           s           p           d       tot  
   -16.43818     0.00000     0.00000     0.00000     0.00000
   -16.39918     0.00000     0.00000     0.00000     0.00000
   -16.36018     0.00000     0.00000     0.00000     0.00000
   -16.32218     0.00000     0.00000     0.00000     0.00000
   -16.28318     0.00000     0.00000     0.00000     0.00000
   -16.24418     0.00000     0.00000     0.00000     0.00000
   -16.20618     0.00000     0.00000     0.00000     0.00000
   -16.16718     0.00000     0.00000     0.00000     0.00000
   -16.12818     0.00000     0.00000     0.00000     0.00000
   -16.09018     0.00000     0.00000     0.00000     0.00000
   -16.05118     0.00000     0.00000     0.00000     0.00000
   -16.01218     0.00000     0.00000     0.00000     0.00000
   -15.97418     0.00000     0.00000     0.00000     0.00000
   -15.93518     0.00000     0.00000     0.00000     0.00000
   -15.89618     0.00000     0.00000     0.00000     0.00000
   -15.85818     0.00000     0.00000     0.00000     0.00000
   -15.81918     0.00000     0.00000     0.00000     0.00000
   -15.78018     0.00000     0.00000     0.00000     0.00000
   -15.74218     0.00000     0.00000     0.00000     0.00000
   -15.70318     0.00000     0.00000     0.00000     0.00000
   -15.66418     0.00000     0.00000     0.00000     0.00000
   -15.62618     0.00000     0.00000     0.00000     0.00000
   -15.58718     0.00000     0.00000     0.00000     0.00000
   -15.54818     0.00000     0.00000     0.00000     0.00000
   -15.51018     0.00000     0.00000     0.00000     0.00000
   -15.47118     0.00000     0.00000     0.00000     0.00000
   -15.43218     0.00000     0.00000     0.00000     0.00000
   -15.39418     0.00000     0.00000     0.00000     0.00000
   -15.35518     0.00000     0.00000     0.00000     0.00000
   -15.31618     0.00000     0.00000     0.00000     0.00000
   -15.27818     0.00000     0.00000     0.00000     0.00000
   -15.23918     0.00000     0.00000     0.00000     0.00000
   -15.20018     0.00000     0.00000     0.00000     0.00000
   -15.16218     0.00000     0.00000     0.00000     0.00000
   -15.12318     0.00000     0.00000     0.00000     0.00000
   -15.08418     0.00000     0.00000     0.00000     0.00000
   -15.04618     0.00000     0.00000     0.00000     0.00000
   -15.00718     0.00000     0.00000     0.00000     0.00000
   -14.96818     0.00000     0.00000     0.00000     0.00000
   -14.93018     0.00000     0.00000     0.00000     0.00000
   -14.89118     0.00000     0.00000     0.00000     0.00000
   -14.85218     0.00000     0.00000     0.00000     0.00000
   -14.81418     0.00000     0.00000     0.00000     0.00000
   -14.77518     0.00000     0.00000     0.00000     0.00000
   -14.73618     0.00000     0.00000     0.00000     0.00000
   -14.69818     0.00000     0.00000     0.00000     0.00000
   -14.65918     0.00000     0.00000     0.00000     0.00000
   -14.62018     0.00000     0.00000     0.00000     0.00000
   -14.58218     0.00000     0.00000     0.00000     0.00000
   -14.54318     0.00000     0.00000     0.00000     0.00000
   -14.50418     0.00000     0.00000     0.00000     0.00000
   -14.46518     0.00000     0.00000     0.00000     0.00000
   -14.42718     0.00000     0.00000     0.00000     0.00000
   -14.38818     0.00000     0.00000     0.00000     0.00000
   -14.34918     0.00000     0.00000     0.00000     0.00000
   -14.31118     0.00000     0.00000     0.00000     0.00000
   -14.27218     0.00000     0.00000     0.00000     0.00000
   -14.23318     0.00000     0.00000     0.00000     0.00000
   -14.19518     0.00000     0.00000     0.00000     0.00000
   -14.15618     0.00000     0.00000     0.00000     0.00000
   -14.11718     0.00000     0.00000     0.00000     0.00000
   -14.07918     0.00000     0.00000     0.00000     0.00000
   -14.04018     0.00056     0.00000     0.00000     0.00057
   -14.00118     0.01462     0.00007     0.00001     0.01469
   -13.96318     0.04756     0.00023     0.00002     0.04781
   -13.92418     0.06930     0.00049     0.00005     0.06983
   -13.88518     0.07186     0.00074     0.00007     0.07267
   -13.84718     0.08268     0.00099     0.00010     0.08377
   -13.80818     0.09414     0.00126     0.00012     0.09553
   -13.76918     0.10626     0.00155     0.00015     0.10796
   -13.73118     0.11808     0.00187     0.00018     0.12013
   -13.69218     0.12578     0.00225     0.00023     0.12825
   -13.65318     0.12896     0.00270     0.00028     0.13194
   -13.61518     0.13226     0.00315     0.00033     0.13574
   -13.57618     0.13902     0.00355     0.00037     0.14295
   -13.53718     0.14594     0.00396     0.00042     0.15032
   -13.49918     0.15298     0.00438     0.00047     0.15783
   -13.46018     0.16014     0.00482     0.00052     0.16548
   -13.42118     0.16744     0.00526     0.00057     0.17327
   -13.38318     0.17492     0.00571     0.00063     0.18126
   -13.34418     0.18038     0.00624     0.00069     0.18731
   -13.30518     0.18388     0.00684     0.00077     0.19149
   -13.26718     0.18850     0.00740     0.00085     0.19675
   -13.22818     0.19306     0.00798     0.00093     0.20197
   -13.18918     0.19754     0.00857     0.00101     0.20712
   -13.15118     0.20200     0.00917     0.00109     0.21226
   -13.11218     0.20700     0.00976     0.00117     0.21794
   -13.07318     0.21220     0.01035     0.00125     0.22380
   -13.03518     0.21760     0.01093     0.00134     0.22986
   -12.99618     0.22340     0.01151     0.00142     0.23633
   -12.95718     0.22920     0.01210     0.00151     0.24281
   -12.91918     0.23520     0.01270     0.00159     0.24949
   -12.88018     0.24100     0.01331     0.00168     0.25599
   -12.84118     0.24600     0.01401     0.00179     0.26180
   -12.80318     0.24980     0.01480     0.00192     0.26652
   -12.76418     0.25360     0.01560     0.00206     0.27126
   -12.72518     0.25840     0.01635     0.00219     0.27694
   -12.68718     0.26320     0.01711     0.00232     0.28263
   -12.64818     0.26820     0.01788     0.00245     0.28853
   -12.60918     0.27340     0.01865     0.00259     0.29464
   -12.57118     0.27860     0.01944     0.00273     0.30077
   -12.53218     0.28400     0.02024     0.00288     0.30712
   -12.49318     0.28960     0.02102     0.00302     0.31364
   -12.45518     0.29560     0.02182     0.00317     0.32059
   -12.41618     0.30180     0.02260     0.00332     0.32772
   -12.37718     0.30800     0.02342     0.00348     0.33490
   -12.33918     0.31460     0.02424     0.00364     0.34248
   -12.30018     0.32120     0.02506     0.00380     0.35006
   -12.26118     0.32800     0.02592     0.00397     0.35789
   -12.22318     0.33420     0.02700     0.00421     0.36541
   -12.18418     0.34080     0.02810     0.00445     0.37335
   -12.14518     0.34800     0.02922     0.00469     0.38191
   -12.10718     0.35540     0.03036     0.00495     0.39071
   -12.06818     0.36420     0.03156     0.00523     0.40099
   -12.02918     0.37420     0.03284     0.00554     0.41258
   -11.99118     0.38500     0.03418     0.00586     0.42504
   -11.95218     0.39680     0.03558     0.00621     0.43859
   -11.91318     0.40960     0.03704     0.00658     0.45322
   -11.87518     0.42320     0.03856     0.00697     0.46873
   -11.83618     0.44020     0.04032     0.00744     0.48796
   -11.79718     0.46720     0.04278     0.00813     0.51811
   -11.75918     0.50880     0.04624     0.00914     0.56418
   -11.72018     0.53320     0.04852     0.00978     0.59150
   -11.68118     0.54060     0.04966     0.01004     0.60030
   -11.64318     0.53120     0.04962     0.00993     0.59075
   -11.60418     0.51120     0.04892     0.00960     0.56972
   -11.56518     0.55700     0.05372     0.01090     0.62162
   -11.52718     0.56380     0.05560     0.01132     0.63072
   -11.48818     0.53600     0.05440     0.01085     0.60125
   -11.44918     0.51500     0.05356     0.01052     0.57908
   -11.41118     0.49880     0.05306     0.01028     0.56214
   -11.37218     0.48720     0.05288     0.01015     0.55023
   -11.33318     0.48040     0.05304     0.01013     0.54357
   -11.29518     0.47740     0.05344     0.01018     0.54102
   -11.25618     0.47020     0.05338     0.01012     0.53370
   -11.21718     0.46240     0.05328     0.01004     0.52572
   -11.17918     0.45420     0.05314     0.00996     0.51730
   -11.14018     0.44580     0.05300     0.00987     0.50867
   -11.10118     0.43720     0.05282     0.00978     0.49980
   -11.06318     0.42840     0.05264     0.00968     0.49072
   -11.02418     0.41920     0.05242     0.00958     0.48120
   -10.98518     0.41180     0.05236     0.00952     0.47368
   -10.94718     0.39960     0.05200     0.00939     0.46099
   -10.90818     0.39320     0.05206     0.00937     0.45463
   -10.86918     0.38880     0.05210     0.00937     0.45027
   -10.83118     0.38300     0.05196     0.00932     0.44428
   -10.79218     0.37660     0.05170     0.00925     0.43755
   -10.75318     0.36940     0.05138     0.00915     0.42993
   -10.71518     0.36160     0.05098     0.00905     0.42163
   -10.67618     0.35300     0.05050     0.00892     0.41242
   -10.63718     0.34340     0.04994     0.00877     0.40211
   -10.59918     0.33400     0.04942     0.00862     0.39204
   -10.56018     0.32560     0.04892     0.00848     0.38300
   -10.52118     0.31800     0.04846     0.00836     0.37482
   -10.48318     0.31140     0.04802     0.00825     0.36767
   -10.44418     0.30360     0.04746     0.00812     0.35918
   -10.40518     0.29080     0.04636     0.00787     0.34503
   -10.36718     0.30200     0.04934     0.00830     0.35964
   -10.32818     0.29200     0.04828     0.00807     0.34835
   -10.28918     0.27880     0.04658     0.00774     0.33312
   -10.25118     0.26460     0.04464     0.00738     0.31662
   -10.21218     0.25740     0.04390     0.00722     0.30852
   -10.17318     0.26140     0.04508     0.00740     0.31388
   -10.13518     0.25440     0.04430     0.00725     0.30595
   -10.09618     0.23660     0.04152     0.00678     0.28490
   -10.05718     0.20780     0.03676     0.00599     0.25055
   -10.01918     0.13750     0.02468     0.00396     0.16614
    -9.98018     0.08000     0.01468     0.00227     0.09695
    -9.94118     0.05000     0.00932     0.00141     0.06073
    -9.90318     0.02398     0.00457     0.00067     0.02922
    -9.86418     0.01082     0.00209     0.00030     0.01321
    -9.82518     0.00287     0.00056     0.00008     0.00351
    -9.78718     0.00000     0.00000     0.00000     0.00000
    -9.74818     0.00000     0.00000     0.00000     0.00000
    -9.70918     0.00000     0.00000     0.00000     0.00000
    -9.67118     0.00015     0.00004     0.00001     0.00019
    -9.63218     0.00420     0.00104     0.00014     0.00539
    -9.59318     0.00932     0.00232     0.00032     0.01196
    -9.55518     0.01551     0.00387     0.00054     0.01992
    -9.51618     0.02276     0.00570     0.00079     0.02925
    -9.47718     0.03110     0.00780     0.00108     0.03998
    -9.43918     0.04682     0.01174     0.00163     0.06020
    -9.40018     0.06578     0.01656     0.00230     0.08464
    -9.36118     0.08580     0.02170     0.00302     0.11052
    -9.32318     0.10688     0.02718     0.00377     0.13783
    -9.28418     0.12902     0.03300     0.00456     0.16658
    -9.24518     0.15222     0.03914     0.00540     0.19676
    -9.20718     0.26000     0.06610     0.00926     0.33536
    -9.16818     0.25340     0.06552     0.00908     0.32800
    -9.12918     0.25880     0.06778     0.00932     0.33590
    -9.09118     0.25340     0.06750     0.00918     0.33008
    -9.05218     0.24760     0.06712     0.00902     0.32374
    -9.01318     0.25760     0.07058     0.00944     0.33762
    -8.97518     0.24960     0.06962     0.00922     0.32844
    -8.93618     0.26260     0.07484     0.00978     0.34722
    -8.89718     0.27420     0.07958     0.01029     0.36407
    -8.85918     0.28160     0.08288     0.01062     0.37510
    -8.82018     0.29000     0.08682     0.01099     0.38781
    -8.78118     0.30100     0.09196     0.01145     0.40441
    -8.74318     0.31480     0.09834     0.01200     0.42514
    -8.70418     0.33100     0.10594     0.01266     0.44960
    -8.66518     0.35020     0.11476     0.01341     0.47837
    -8.62718     0.37260     0.12544     0.01428     0.51232
    -8.58818     0.38560     0.13298     0.01482     0.53340
    -8.54918     0.38600     0.13570     0.01490     0.53660
