# E_raw(eV)  PDOS(states/eV)  E_minus_Ef(eV)  E_minus_Evac_left(eV)  E_minus_Evac_right(eV)  E_minus_Vmid(eV)
-2.987399999999999878e+01 0.000000000000000000e+00 -2.899588158999999976e+01 -3.334844230423112066e+01 -3.359947869820405941e+01 -2.446622594221459224e+01
-2.986199999999999832e+01 0.000000000000000000e+00 -2.898388158999999931e+01 -3.333644230423112020e+01 -3.358747869820405896e+01 -2.445422594221459178e+01
-2.984900000000000020e+01 0.000000000000000000e+00 -2.897088159000000118e+01 -3.332344230423112208e+01 -3.357447869820406083e+01 -2.444122594221459366e+01
-2.983699999999999974e+01 0.000000000000000000e+00 -2.895888159000000073e+01 -3.331144230423112162e+01 -3.356247869820406038e+01 -2.442922594221459320e+01
-2.982400000000000162e+01 0.000000000000000000e+00 -2.894588159000000260e+01 -3.329844230423112350e+01 -3.354947869820406225e+01 -2.441622594221459508e+01
-2.981200000000000117e+01 0.000000000000000000e+00 -2.893388159000000215e+01 -3.328644230423112305e+01 -3.353747869820406180e+01 -2.440422594221459462e+01
-2.979899999999999949e+01 0.000000000000000000e+00 -2.892088159000000047e+01 -3.327344230423112492e+01 -3.352447869820406368e+01 -2.439122594221459650e+01
-2.978699999999999903e+01 0.000000000000000000e+00 -2.890888159000000002e+01 -3.326144230423112447e+01 -3.351247869820406322e+01 -2.437922594221459605e+01
-2.977400000000000091e+01 0.000000000000000000e+00 -2.889588159000000189e+01 -3.324844230423112634e+01 -3.349947869820406510e+01 -2.436622594221459792e+01
-2.976099999999999923e+01 0.000000000000000000e+00 -2.888288159000000022e+01 -3.323544230423112111e+01 -3.348647869820405987e+01 -2.435322594221459269e+01
-2.974899999999999878e+01 0.000000000000000000e+00 -2.887088158999999976e+01 -3.322344230423112066e+01 -3.347447869820405941e+01 -2.434122594221459224e+01
-2.973600000000000065e+01 0.000000000000000000e+00 -2.885788159000000164e+01 -3.321044230423112253e+01 -3.346147869820406129e+01 -2.432822594221459411e+01
-2.972400000000000020e+01 0.000000000000000000e+00 -2.884588159000000118e+01 -3.319844230423112208e+01 -3.344947869820406083e+01 -2.431622594221459366e+01
-2.971099999999999852e+01 0.000000000000000000e+00 -2.883288158999999951e+01 -3.318544230423112396e+01 -3.343647869820406271e+01 -2.430322594221459553e+01
-2.969900000000000162e+01 0.000000000000000000e+00 -2.882088159000000260e+01 -3.317344230423112350e+01 -3.342447869820406225e+01 -2.429122594221459508e+01
-2.968599999999999994e+01 0.000000000000000000e+00 -2.880788159000000093e+01 -3.316044230423112538e+01 -3.341147869820406413e+01 -2.427822594221459696e+01
-2.967299999999999827e+01 0.000000000000000000e+00 -2.879488158999999925e+01 -3.314744230423112015e+01 -3.339847869820405890e+01 -2.426522594221459173e+01
-2.966100000000000136e+01 0.000000000000000000e+00 -2.878288159000000235e+01 -3.313544230423112680e+01 -3.338647869820406555e+01 -2.425322594221459838e+01
-2.964799999999999969e+01 0.000000000000000000e+00 -2.876988159000000067e+01 -3.312244230423112157e+01 -3.337347869820406032e+01 -2.424022594221459315e+01
-2.963599999999999923e+01 0.000000000000000000e+00 -2.875788159000000022e+01 -3.311044230423112111e+01 -3.336147869820405987e+01 -2.422822594221459269e+01
-2.962300000000000111e+01 0.000000000000000000e+00 -2.874488159000000209e+01 -3.309744230423112299e+01 -3.334847869820406174e+01 -2.421522594221459457e+01
-2.961100000000000065e+01 0.000000000000000000e+00 -2.873288159000000164e+01 -3.308544230423112253e+01 -3.333647869820406129e+01 -2.420322594221459411e+01
-2.959799999999999898e+01 0.000000000000000000e+00 -2.871988158999999996e+01 -3.307244230423112441e+01 -3.332347869820406316e+01 -2.419022594221459599e+01
-2.958500000000000085e+01 0.000000000000000000e+00 -2.870688159000000184e+01 -3.305944230423112629e+01 -3.331047869820406504e+01 -2.417722594221459786e+01
-2.957300000000000040e+01 0.000000000000000000e+00 -2.869488159000000138e+01 -3.304744230423112583e+01 -3.329847869820406459e+01 -2.416522594221459741e+01
-2.955999999999999872e+01 0.000000000000000000e+00 -2.868188158999999970e+01 -3.303444230423112060e+01 -3.328547869820405936e+01 -2.415222594221459218e+01
-2.954799999999999827e+01 0.000000000000000000e+00 -2.866988158999999925e+01 -3.302244230423112015e+01 -3.327347869820405890e+01 -2.414022594221459173e+01
-2.953500000000000014e+01 0.000000000000000000e+00 -2.865688159000000113e+01 -3.300944230423112202e+01 -3.326047869820406078e+01 -2.412722594221459360e+01
-2.952299999999999969e+01 0.000000000000000000e+00 -2.864488159000000067e+01 -3.299744230423112157e+01 -3.324847869820406032e+01 -2.411522594221459315e+01
-2.951000000000000156e+01 0.000000000000000000e+00 -2.863188159000000255e+01 -3.298444230423112344e+01 -3.323547869820406220e+01 -2.410222594221459502e+01
-2.949699999999999989e+01 0.000000000000000000e+00 -2.861888159000000087e+01 -3.297144230423112532e+01 -3.322247869820406407e+01 -2.408922594221459690e+01
-2.948499999999999943e+01 0.000000000000000000e+00 -2.860688159000000041e+01 -3.295944230423112487e+01 -3.321047869820406362e+01 -2.407722594221459644e+01
-2.947200000000000131e+01 0.000000000000000000e+00 -2.859388159000000229e+01 -3.294644230423112674e+01 -3.319747869820406549e+01 -2.406422594221459832e+01
-2.946000000000000085e+01 0.000000000000000000e+00 -2.858188159000000184e+01 -3.293444230423112629e+01 -3.318547869820406504e+01 -2.405222594221459786e+01
-2.944699999999999918e+01 1.731453603872000203e-14 -2.856888159000000016e+01 -3.292144230423112106e+01 -3.317247869820405981e+01 -2.403922594221459264e+01
-2.943499999999999872e+01 3.008199822064000313e-13 -2.855688158999999970e+01 -3.290944230423112060e+01 -3.316047869820405936e+01 -2.402722594221459218e+01
-2.942200000000000060e+01 4.908976163212000313e-12 -2.854388159000000158e+01 -3.289644230423112248e+01 -3.314747869820406123e+01 -2.401422594221459406e+01
-2.940899999999999892e+01 7.095203298683998484e-11 -2.853088158999999990e+01 -3.288344230423112435e+01 -3.313447869820406311e+01 -2.400122594221459593e+01
-2.939699999999999847e+01 9.045371299067999021e-10 -2.851888158999999945e+01 -3.287144230423112390e+01 -3.312247869820406265e+01 -2.398922594221459548e+01
-2.938400000000000034e+01 1.017190308423599943e-08 -2.850588159000000132e+01 -3.285844230423112577e+01 -3.310947869820406453e+01 -2.397622594221459735e+01
-2.937199999999999989e+01 1.009100329700999973e-07 -2.849388159000000087e+01 -3.284644230423112532e+01 -3.309747869820406407e+01 -2.396422594221459690e+01
-2.935900000000000176e+01 8.831708556340000493e-07 -2.848088159000000275e+01 -3.283344230423112720e+01 -3.308447869820406595e+01 -2.395122594221459877e+01
-2.934700000000000131e+01 6.817273172592000244e-06 -2.846888159000000229e+01 -3.282144230423112674e+01 -3.307247869820406549e+01 -2.393922594221459832e+01
