    # Energy          Ge           H
   -27.65188   774.55901     0.12661
   -27.63888   802.32558     0.18016
   -27.62588   827.69578     0.24468
   -27.61388   840.47862     0.30912
   -27.60088   834.19284     0.35857
   -27.58888   808.46210     0.37989
   -27.57588   768.47472     0.36807
   -27.56388   720.92836     0.32846
   -27.55088   669.54780     0.27372
   -27.53888   612.97612     0.21675
   -27.52588   546.55357     0.16592
   -27.51288   467.02183     0.12375
   -27.50088   376.16946     0.08942
   -27.48788   281.89596     0.06156
   -27.47588   194.54269     0.03960
   -27.46288   122.87384     0.02341
   -27.45088    71.06543     0.01258
   -27.43788    38.72784     0.00610
   -27.42488    22.87423     0.00266
   -27.41288    20.39998     0.00104
   -27.39988    29.47943     0.00036
   -27.38788    49.38798     0.00011
   -27.37488    79.07706     0.00003
   -27.36288   115.42237     0.00001
   -27.34988   152.61093     0.00000
   -27.33688   182.84466     0.00000
   -27.32488   198.71333     0.00000
   -27.31188   195.92266     0.00000
   -27.29988   175.06033     0.00000
   -27.28688   141.37529     0.00000
   -27.27488   102.90900     0.00000
   -27.26188    67.32841     0.00000
   -27.24888    39.44821     0.00000
   -27.23688    20.64837     0.00000
   -27.22388     9.62814     0.00000
   -27.21188     3.99355     0.00000
   -27.19888     1.47051     0.00000
   -27.18688     0.48015     0.00000
   -27.17388     0.13887     0.00000
   -27.16088     0.03556     0.00000
   -27.14888     0.00805     0.00000
   -27.13588     0.00161     0.00000
   -27.12388     0.00029     0.00000
   -27.11088     0.00004     0.00000
   -27.09888     0.00001     0.00000
   -27.08588     0.00000     0.00000
   -27.07288     0.00000     0.00000
   -27.06088     0.00000     0.00000
   -27.04788     0.00000     0.00000
   -27.03588     0.00000     0.00000
   -27.02288     0.00000     0.00000
   -27.01088     0.00000     0.00000
   -26.99788     0.00000     0.00000
   -26.98488     0.00000     0.00000
   -26.97288     0.00000     0.00000
   -26.95988     0.00000     0.00000
   -26.94788     0.00000     0.00000
   -26.93488     0.00000     0.00000
   -26.92288     0.00000     0.00000
   -26.90988     0.00000     0.00000
   -26.89688     0.00000     0.00000
   -26.88488     0.00000     0.00000
