     #Energy      1&3_px
   -16.96093     0.00000
   -16.94993     0.00000
   -16.93893     0.00000
   -16.92793     0.00000
   -16.91693     0.00000
   -16.90593     0.00000
   -16.89393     0.00000
   -16.88293     0.00000
   -16.87193     0.00000
   -16.86093     0.00000
   -16.84993     0.00000
   -16.83893     0.00000
   -16.82793     0.00000
   -16.81593     0.00000
   -16.80493     0.00000
   -16.79393     0.00000
   -16.78293     0.00000
   -16.77193     0.00000
   -16.76093     0.00000
   -16.74893     0.00000
   -16.73793     0.00000
   -16.72693     0.00000
   -16.71593     0.00000
   -16.70493     0.00000
   -16.69393     0.00000
   -16.68293     0.00000
   -16.67093     0.00000
   -16.65993     0.00000
   -16.64893     0.00000
   -16.63793     0.00000
   -16.62693     0.00000
   -16.61593     0.00000
   -16.60393     0.00000
   -16.59293     0.00000
   -16.58193     0.00000
   -16.57093     0.00000
   -16.55993     0.00000
   -16.54893     0.00000
   -16.53693     0.00000
   -16.52593     0.00000
   -16.51493     0.00000
   -16.50393     0.00000
   -16.49293     0.00000
   -16.48193     0.00000
   -16.47093     0.00000
   -16.45893     0.00000
   -16.44793     0.00000
   -16.43693     0.00000
   -16.42593     0.00000
   -16.41493     0.00000
   -16.40393     0.00000
   -16.39193     0.00000
   -16.38093     0.00000
   -16.36993     0.00000
   -16.35893     0.00000
   -16.34793     0.00000
   -16.33693     0.00000
   -16.32593     0.00000
   -16.31393     0.00000
   -16.30293     0.00000
   -16.29193     0.00000
   -16.28093     0.00000
   -16.26993     0.00000
   -16.25893     0.00000
   -16.24693     0.00000
   -16.23593     0.00000
   -16.22493     0.00000
   -16.21393     0.00000
   -16.20293     0.00000
   -16.19193     0.00000
   -16.18093     0.00000
   -16.16893     0.00000
   -16.15793     0.00000
   -16.14693     0.00000
   -16.13593     0.00000
   -16.12493     0.00000
   -16.11393     0.00000
   -16.10193     0.00000
   -16.09093     0.00000
   -16.07993     0.00000
   -16.06893     0.00000
   -16.05793     0.00000
   -16.04693     0.00000
   -16.03493     0.00000
   -16.02393     0.00000
   -16.01293     0.00000
   -16.00193     0.00000
   -15.99093     0.00000
   -15.97993     0.00000
   -15.96893     0.00000
   -15.95693     0.00000
   -15.94593     0.00000
   -15.93493     0.00000
   -15.92393     0.00000
   -15.91293     0.00000
   -15.90193     0.00000
   -15.88993     0.00000
   -15.87893     0.00000
   -15.86793     0.00000
   -15.85693     0.00000
   -15.84593     0.00000
   -15.83493     0.00000
   -15.82393     0.00000
   -15.81193     0.00000
   -15.80093     0.00000
   -15.78993     0.00000
   -15.77893     0.00000
   -15.76793     0.00000
   -15.75693     0.00000
   -15.74493     0.00000
   -15.73393     0.00000
   -15.72293     0.00000
   -15.71193     0.00000
   -15.70093     0.00000
   -15.68993     0.00000
   -15.67793     0.00000
