    # Energy          Ge           H
   -24.73759     0.00000     0.00000
   -24.72559     0.00000     0.00000
   -24.71259     0.00000     0.00000
   -24.70059     0.00000     0.00000
   -24.68759     0.00000     0.00000
   -24.67459     0.00000     0.00000
   -24.66259     0.00000     0.00000
   -24.64959     0.00000     0.00000
   -24.63759     0.00000     0.00000
   -24.62459     0.00000     0.00000
   -24.61259     0.00000     0.00000
   -24.59959     0.00000     0.00000
   -24.58659     0.00000     0.00000
   -24.57459     0.00000     0.00000
   -24.56159     0.00000     0.00000
   -24.54959     0.00000     0.00000
   -24.53659     0.00000     0.00000
   -24.52459     0.00000     0.00000
   -24.51159     0.00000     0.00000
   -24.49859     0.00000     0.00000
   -24.48659     0.00000     0.00000
   -24.47359     0.00000     0.00000
   -24.46159     0.00000     0.00000
   -24.44859     0.00000     0.00000
   -24.43559     0.00000     0.00000
   -24.42359     0.00000     0.00000
   -24.41059     0.00000     0.00000
   -24.39859     0.00000     0.00000
   -24.38559     0.00000     0.00000
   -24.37359     0.00000     0.00000
   -24.36059     0.00000     0.00000
   -24.34759     0.00000     0.00000
   -24.33559     0.00000     0.00000
   -24.32259     0.00000     0.00000
   -24.31059     0.00000     0.00000
   -24.29759     0.00000     0.00000
   -24.28459     0.00000     0.00000
   -24.27259     0.00000     0.00000
   -24.25959     0.00000     0.00000
   -24.24759     0.00000     0.00000
   -24.23459     0.00000     0.00000
   -24.22259     0.00000     0.00000
   -24.20959     0.00000     0.00000
   -24.19659     0.00000     0.00000
   -24.18459     0.00000     0.00000
   -24.17159     0.00000     0.00000
   -24.15959     0.00000     0.00000
   -24.14659     0.00000     0.00000
   -24.13359     0.00000     0.00000
   -24.12159     0.00000     0.00000
   -24.10859     0.00000     0.00000
   -24.09659     0.00000     0.00000
   -24.08359     0.00000     0.00000
   -24.07159     0.00000     0.00000
   -24.05859     0.00000     0.00000
   -24.04559     0.00000     0.00000
   -24.03359     0.00000     0.00000
   -24.02059     0.00000     0.00000
   -24.00859     0.00000     0.00000
   -23.99559     0.00000     0.00000
   -23.98259     0.00000     0.00000
   -23.97059     0.00000     0.00000
   -23.95759     0.00000     0.00000
   -23.94559     0.00000     0.00000
   -23.93259     0.00000     0.00000
   -23.92059     0.00000     0.00000
   -23.90759     0.00000     0.00000
   -23.89459     0.00000     0.00000
   -23.88259     0.00000     0.00000
   -23.86959     0.00000     0.00000
   -23.85759     0.00000     0.00000
   -23.84459     0.00000     0.00000
   -23.83259     0.00000     0.00000
   -23.81959     0.00000     0.00000
   -23.80659     0.00000     0.00000
   -23.79459     0.00000     0.00000
