# E_raw(eV)  DOS(states/eV)  E_minus_Ef(eV)  E_minus_Evac_left(eV)  E_minus_Evac_right(eV)  E_minus_Vmid(eV)
-2.925600000000000023e+01 0.000000000000000000e+00 -2.872659340999999955e+01 -3.417033997477950891e+01 -3.341745695176216913e+01 -2.429786819937089604e+01
-2.924299999999999855e+01 0.000000000000000000e+00 -2.871359340999999787e+01 -3.415733997477950368e+01 -3.340445695176216390e+01 -2.428486819937089436e+01
-2.923100000000000165e+01 0.000000000000000000e+00 -2.870159341000000097e+01 -3.414533997477951033e+01 -3.339245695176217055e+01 -2.427286819937089746e+01
-2.921799999999999997e+01 0.000000000000000000e+00 -2.868859340999999930e+01 -3.413233997477950510e+01 -3.337945695176216532e+01 -2.425986819937089578e+01
-2.920499999999999829e+01 0.000000000000000000e+00 -2.867559340999999762e+01 -3.411933997477950697e+01 -3.336645695176216719e+01 -2.424686819937089410e+01
-2.919300000000000139e+01 0.000000000000000000e+00 -2.866359341000000072e+01 -3.410733997477950652e+01 -3.335445695176216674e+01 -2.423486819937089720e+01
-2.917999999999999972e+01 0.000000000000000000e+00 -2.865059340999999904e+01 -3.409433997477950840e+01 -3.334145695176216861e+01 -2.422186819937089552e+01
-2.916799999999999926e+01 0.000000000000000000e+00 -2.863859340999999858e+01 -3.408233997477950794e+01 -3.332945695176216816e+01 -2.420986819937089507e+01
-2.915500000000000114e+01 0.000000000000000000e+00 -2.862559341000000046e+01 -3.406933997477950982e+01 -3.331645695176217004e+01 -2.419686819937089695e+01
-2.914300000000000068e+01 0.000000000000000000e+00 -2.861359341000000001e+01 -3.405733997477950936e+01 -3.330445695176216958e+01 -2.418486819937089649e+01
-2.912999999999999901e+01 0.000000000000000000e+00 -2.860059340999999833e+01 -3.404433997477950413e+01 -3.329145695176216435e+01 -2.417186819937089481e+01
-2.911700000000000088e+01 0.000000000000000000e+00 -2.858759341000000020e+01 -3.403133997477950601e+01 -3.327845695176216623e+01 -2.415886819937089669e+01
-2.910500000000000043e+01 0.000000000000000000e+00 -2.857559340999999975e+01 -3.401933997477950555e+01 -3.326645695176216577e+01 -2.414686819937089624e+01
-2.909199999999999875e+01 0.000000000000000000e+00 -2.856259340999999807e+01 -3.400633997477950743e+01 -3.325345695176216765e+01 -2.413386819937089456e+01
-2.907999999999999829e+01 0.000000000000000000e+00 -2.855059340999999762e+01 -3.399433997477950697e+01 -3.324145695176216719e+01 -2.412186819937089410e+01
